Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-100.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-98.88ms,Serial1,09DE000C,Data,0,,,Form
,-98.30ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-98.27ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-89.63ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-79.46ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-79.20ms,Serial1,09DE000C,Data,0,,,Form
,-77.73ms,Serial1,0CF00300,Data,8,64 06 00 7D FF FF FF FF FF 00 00 FF 00 FF FF FF,6023,
,-77.15ms,Serial1,19FC928E,Data,1,FF,7FFF,C,Fo
,-76.58ms,Serial1,18FDB300,Data,8,FF FF 0A 26 FF FF FF FF,35B2,
,-76.54ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,-75.97ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,-69.63ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-59.46ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-59.20ms,Serial1,09DE000C,Data,0,,,Form
,-58.88ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-57.73ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-57.70ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,-49.60ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-39.46ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-38.88ms,Serial1,09DE000C,Data,0,,,Form
,-38.30ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-38.27ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-37.70ms,Serial1,18EF0600,Data,8,64 0E 31 00 FF FF FF FF,54FA,
,-37.12ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,-36.38ms,Serial1,000C7802,Data,8,7D FF FF FF FF FF FF FF,115D,
,-29.63ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-20.32ms,Serial1,0006F783,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-19.81ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
