Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,?,Serial1,,Data,8,01 01 FF FF FF FF FF F5,5242,
,-98.91ms,Serial1,04EF0006,Data,8,64 15 1C F0 00 00 10 0E,5FDB,
,-98.34ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-98.30ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-97.73ms,Serial1,18FDB300,Data,8,FF FF F6 25 FF FF FF FF,1EDB,
,-97.15ms,Serial1,1CEFFF00,Data,8,64 07 00 00 FF FF FF FF,7B0B,
,-91.20ms,Serial1,000E7FFF,Data,8,22 FF FF 3C FF FF FF FF,5690,
,-89.25ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-80.06ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-79.46ms,Serial1,04EF0006,Data,8,64 15 1D F0 00 00 10 0E,41F7,
,-78.88ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-77.73ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-77.15ms,Serial1,18FEF28E,Data,1,FE,,Form
,-76.58ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,-76.54ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-69.25ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-60.06ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-58.91ms,Serial1,04EF0006,Data,8,64 15 1E F0 00 00 10 0E,6383,
,-58.34ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-58.30ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-57.73ms,Serial1,18EF0600,Data,8,64 0E F7 00 FF FF FF FF,651C,
,-49.25ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-40.48ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-39.81ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-39.23ms,Serial1,09DE000C,Data,0,,,Fo
,-38.66ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-37.50ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-37.25ms,Serial1,19FFFC0C,Data,0,,,Form
,-36.38ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,-36.35ms,Serial1,18FEDF00,Data,8,7D 20 1C FF FF FF FF FF,5A62,
,-29.25ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-18.91ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 10 F0 00 00 10 0E,1392,
,-18.88ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-18.30ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-17.73ms,Serial1,18FEEF00,Data,8,FF FF FF 00 FF FF FF FA,7898,
,-9.248ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,544.0us,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 11 F0 00 00 10 0E,0DBE,
,1.120ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,2.272ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,2.304ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,2.880ms,Serial1,0CFFFF47,Data,8,5D FF FF F3 FF FF FF FF,66E2,
,3.456ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,4.064ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,10.75ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,19.94ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,21.09ms,Serial1,04EF0006,Data,8,64 15 12 F0 00 00 10 0E,2FCA,
,21.12ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,21.70ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,22.27ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,30.75ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,39.97ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,41.09ms,Serial1,04EF0006,Data,8,64 15 13 F0 00 00 10 0E,31E6,
,41.12ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,41.70ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,42.27ms,Serial1,18EF0600,Data,8,64 0E 01 00 FF BF FF FF,2B75,CRC
,42.85ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,43.42ms,Serial1,18FFFB06,Data,8,00 1B FF FF FF FF FF FF,6E40,
,44.29ms,Serial1,18F00503,Data,8,7D,,Form
,50.75ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,59.52ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,61.25ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 14 F0 00 00 10 0E,6B22,
,61.28ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,61.86ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,62.98ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,63.01ms,Serial1,18FEF600,Data,8,FF 00 3D FF 00 FF FF FF,0DD4,
,70.75ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,80.54ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,80.58ms,Serial1,04EF0006,Data,8,64 15 15 F0 00 00 10 0E,750E,
,81.12ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,82.27ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,82.85ms,Serial1,19FC928E,Data,1,FF,7FFF,C,Fo
,83.42ms,Serial1,18EFFA00,Data,8,64 01 FF 00 00 FF FF FF,159B,
,84.00ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,84.03ms,Serial1,18FE6847,Data,8,3C FF FF FF FF FF FF FF,2041,
,84.61ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,85.76ms,Serial1,18FFFF06,Data,8,73 FF FF FF FF FF FF FF,05EE,
,85.92ms,Serial1,,,,20 1C 20 1C FF FF FF,648A,
,90.75ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,99.94ms,Serial1,,,,,,
