Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-50.00ms,Serial1,006,Data,8,C6 C3,,Fo
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-49.38ms,Serial1,379,RMT,0,,,Form
,-40.02ms,Serial1,0CF00300,Data,8,FF 00 23 FF 5E FF FF FF,5D2B,
,-38.86ms,Serial1,0CEFFF00,Data,8,64 06 2C 7D FF FF FF FF,039F,
,-38.85ms,Serial1,18EF0600,Data,8,64 0E EB 08 FF FF FF FF,40A7,CRC
,-31.25ms,Serial1,1DEF0F01,RMT,12,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-31.07ms,Serial1,,,,,,Form
,-30.18ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-29.73ms,Serial1,,,,,,Form
,-29.68ms,Serial1,0CF00400,Data,8,FE FF A0 06 2B FF FF FF,6B2E,
,-29.06ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-28.51ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-28.06ms,Serial1,,,,,,Form
,-28.00ms,Serial1,,,,,,Form
,-27.87ms,Serial1,,,,,,
,-27.84ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-27.46ms,Serial1,,,,,,Form
,-27.22ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-26.80ms,Serial1,,,,,,Fo
,-23.09ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-19.90ms,Serial1,0CF00300,Data,8,FF 00 20 FF 5E FF FF FF,7F5F,
,-19.31ms,Serial1,0CEFFF00,Data,8,64 06 2A 7D FF FF FF FF,4777,
,-18.18ms,Serial1,18EFFF00,Data,8,64 10 01 01 30 04 0B 7D,57E3,
,-18.16ms,Serial1,18FEDF00,Data,8,8F 06 2B FF FF FF FF FF,0762,
,-11.49ms,Serial1,0DEF0603,Data,8,60 86,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-11.04ms,Serial1,,,,,,Form
,-11.02ms,Serial1,,,,,,Form
,-10.22ms,Serial1,,,,,,Form
,-9.744ms,Serial1,070DB0CF,RMT,11,,,
,-9.680ms,Serial1,,,,,,Form
,-9.664ms,Serial1,0CF00400,Data,8,FE FF 9F 06 2B FF FF FF,7A9C,
,560.0us,Serial1,0CF00300,Data,8,FF 00 22 FF 5E FF FF FF,4307,
,576.0us,Serial1,0CEFFF00,Data,8,64 06 2C 7D FF FF FF FF,039F,
,1.152ms,Serial1,18FEEF00,Data,8,FF FF FF,,Form
,3.808ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,8.768ms,Serial1,03C1CC30,RMT,0,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,9.776ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,10.32ms,Serial1,0CF00400,Data,8,FE FF A0 04 2B FF FF FF,6167,
,?,Serial1,,,,,,Form
,11.09ms,Serial1,,,,,,Fo
,?,Serial1,,,,,,Form
,11.26ms,Serial1,,,,,,Form
,11.46ms,Serial1,7FF,Data,10,B6,,
,11.49ms,Serial1,,,,,,Form
,11.79ms,Serial1,,,,,,Form
,11.81ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,11.97ms,Serial1,,,,,,Fo
,12.10ms,Serial1,67F,RMT,0,,2839,C,Fo
,?,Serial1,,,,,,Form
,12.42ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,19.97ms,Serial1,0CF00300,Data,8,FF 00 1F FF 5E FF FF FF,6EED,
,20.54ms,Serial1,0CEFFF00,Data,8,64 06 2A 7D FF FF FF FF,4777,
,28.75ms,Serial1,0DEF0F01,RMT,4,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,28.96ms,Serial1,,,,,,Form
,30.05ms,Serial1,04EF0006,Data,8,EC,,Form
,30.06ms,Serial1,0C6,Data,15,64 33 E7,,Form
,30.32ms,Serial1,,,,,,Form
,30.34ms,Serial1,0CF00400,Data,8,FE FF 9F 10 2B FF FF FF,360F,
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,40.06ms,Serial1,0CF00300,Data,8,FF 00 21 FF 5E FF FF FF,6173,
,40.64ms,Serial1,0CEFFF00,Data,8,64 06 29 7D FF FF FF FF,6503,
,41.22ms,Serial1,18FEF200,Data,8,39 00 FF FF FF FF FF FF,2E01,
,48.50ms,Serial1,0DEF0647,Data,8,01 0E,,Fo
,48.74ms,Serial1,,,,,,Fo
,?,Serial1,,,,,,Form
,49.06ms,Serial1,,,,,,Fo
,?,Serial1,,,,,,Form
,49.90ms,Serial1,,,,,,
