Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-99.84ms,Serial1,,,,FF FF,59AB,
,-99.81ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,-99.26ms,Serial1,18FED500,Data,8,FF FF FC FF FF FF FF FF,193C,
,-91.07ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-82.30ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-82.14ms,Serial1,,,,64 15 1E F0 00 00 10 0E,6383,
,-80.51ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-80.48ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-71.04ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-62.30ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-61.73ms,Serial1,,,,64 15 1F F0 00 00 10 0E,7DAF,
,-61.15ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,-60.99ms,Serial1,00067F21,Data,8,00 00 FF FF 3F FF FF FF,3824,
,-60.54ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-59.39ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-58.82ms,Serial1,19FC888E,Data,0,,0000,C,Fo
,-58.78ms,Serial1,18FDB300,Data,8,FF FF 14 25 FF FF FF FF,41F0,
,-51.07ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-42.30ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-42.14ms,Serial1,,,,64 15 10 F0 00 00 10 0E,1392,
,-41.06ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-40.45ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-39.87ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,-31.07ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-22.30ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-21.73ms,Serial1,,,,64 15 11 F0 00 00 10 0E,0DBE,
,-21.70ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,-21.12ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-20.54ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-19.39ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-19.36ms,Serial1,18EF0600,Data,8,64 0E 5D 00 FF FF FF FF,2234,
,-11.07ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-3.328ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-2.080ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-1.920ms,Serial1,,,,64 15 12 F0 00 00 10 0E,2FCA,
,-480.0us,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,96.00us,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,128.0us,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,672.0us,Serial1,18FEDF00,Data,8,7D 20 1C FF FF FF FF FF,5A62,
,8.928ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,17.70ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,17.86ms,Serial1,,,,64 15 13 F0 00 00 10 0E,31E6,
,18.27ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,18.85ms,Serial1,0CFFFF47,Data,8,5D FF FF F3 FF FF FF FF,66E2,
,19.46ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,20.61ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,21.18ms,Serial1,19FC868E,Data,0,,0000,C,Fo
,21.76ms,Serial1,18FEEF00,Data,8,FF FF FF 00 FF FF FF FA,7898,
,21.79ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,22.37ms,Serial1,0CFFFE06,Data,8,5C 20 1C 20 1C FF FF FF,648A,
,28.96ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,37.70ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,37.86ms,Serial1,,,,64 15 14 F0 00 00 10 0E,6B22,
,39.49ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,39.52ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,48.93ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,57.70ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 15 F0 00 00 10 0E,750E,
,58.27ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,59.42ms,Serial1,000C7802,Data,8,7D FF FF FF FF FF FF FF,115D,
,59.46ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,60.03ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,60.61ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,68.93ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,77.70ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,77.86ms,Serial1,,,,64 15 16 F0 00 00 10 0E,577A,
,79.49ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,80.06ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,80.10ms,Serial1,18EF0600,Data,8,64 0E 67 00 FF FF FF FF,551A,
,88.96ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,96.67ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,97.86ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,98.43ms,Serial1,04EF0006,Data,8,64 15 17 F0 00 00 10 0E,4956,
,98.46ms,Serial1,0CFFFE06,Data,8,5C 20 1C 20 1C FF FF FF,648A,
,99.58ms,Serial1,0CEFFF00,Data,8,FF 00 00 FF 00 FF FF FF 64 06 00 7D FF FF,6023,
