Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-100.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-98.24ms,Serial1,04EF0006,Data,8,64 15 1F F0 73 19 BF 0E,1583,
,-98.21ms,Serial1,0CF00400,Data,8,FE FF 9B 5A 1C FF FF FF,5AFE,
,-88.22ms,Serial1,0CF00300,Data,8,FF 00 21 FF 08 FF FF FF,5A2B,
,-87.65ms,Serial1,0CEFFF00,Data,8,64 06 2B 7D FF FF FF FF,595B,
,-87.07ms,Serial1,18EFFF00,Data,8,64 10 01 01 E0 02 05 7D,1D95,
,-87.04ms,Serial1,18FED500,Data,8,FF FF FD FF FF FF FF FF,0710,
,-80.00ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-78.24ms,Serial1,04EF0006,Data,8,64 15 10 F0 D0 18 BF 0E,17AB,
,-78.21ms,Serial1,0CF00400,Data,8,FE FF 9C 5E 1C FF FF FF,14A8,
,-77.12ms,Serial1,0CFFFE06,Data,8,5C 7F 1D 7F 1D FF FF FF,1CBC,
,-76.96ms,Serial1,000C7F78,Data,8,FF 00 00 FF FF FF FF FF,4559,
,-76.51ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-68.13ms,Serial1,0CF00300,Data,8,FF 00 21 FF 08 FF FF FF,5A2B,
,-68.10ms,Serial1,0CEFFF00,Data,8,64 06 29 7D FF FF FF FF,6503,
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-60.03ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,-58.24ms,Serial1,0CF00400,Data,8,64 15 11 F0 C6 18 BF 0E FE FF 9B 64 1C FF FF FF,5E40,
,-48.77ms,Serial1,0CF00300,Data,8,FF 00 21 FF 08 FF FF FF,5A2B,
,-48.19ms,Serial1,0CEFFF00,Data,8,64 06 28 7D FF FF FF FF,7B2F,
,-47.62ms,Serial1,18FDB300,Data,8,FF FF F6 26 FF FF FF FF,737A,
,-40.32ms,Serial1,0006F783,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-39.87ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,-38.14ms,Serial1,0CF00400,Data,8,FE FF 9B 60 1C FF FF FF,4AD2,
,-38.11ms,Serial1,04EF0006,Data,8,64 15 12 F0 73 19 BF 0E,47E6,
,-28.67ms,Serial1,0CF00300,Data,8,FF 00 22 FF 08 FF FF FF,785F,
,-28.10ms,Serial1,0CEFFF00,Data,8,64 06 2A 7D FF FF FF FF,4777,
,-27.52ms,Serial1,18FEF200,Data,8,20 00 FF FF FF FF FF FF,144B,
,-23.58ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,-20.03ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,?,Serial1,,,,,,Form
,-18.88ms,Serial1,,,,,,Form
,-18.24ms,Serial1,,,,,,Fo
,-18.21ms,Serial1,0CF00400,Data,8,FE FF 9B 60 1C FF FF FF,4AD2,
,-8.736ms,Serial1,0CF00300,Data,8,FF 00 21 FF 08 FF FF FF,5A2B,
,-8.160ms,Serial1,0CEFFF00,Data,8,64 06 28 7D FF FF FF FF,7B2F,
,-7.584ms,Serial1,18EF0600,Data,8,64 0E 9D 00 FF FF FF FF,573A,
,-32.00us,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,1.760ms,Serial1,04EF0006,Data,8,64 15 14 F0 73 19 BF 0E,030E,
,1.792ms,Serial1,0CF00400,Data,8,FE FF 9B 66 1C FF FF FF,5409,
,2.784ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF,,Form
,2.912ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,3.520ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,4.128ms,Serial1,0CFFFE06,Data,8,5C 7F 1D 7F 1D FF FF FF,1CBC,
,11.84ms,Serial1,0CF00300,Data,8,FF 00 20 FF 08 FF FF FF,4407,
,12.99ms,Serial1,18FEDF00,Data,8,64 06 27 7D FF FF FF FF 64 10 01 01 E0 02 05 7D 8B 68 1C FF FF FF FF FF,3490,
,20.51ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF FB,,Form
,21.76ms,Serial1,04EF0006,Data,8,64 15 15 F0 73 19 BF 0E,1D22,
,21.79ms,Serial1,0CF00400,Data,8,FE FF B4 CC 39 FF FF FF,,Fo
,?,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,31.26ms,Serial1,0CF00300,Data,8,FF 00 21 FF 08 FF FF FF,5A2B,
,31.84ms,Serial1,0CEFFF00,Data,8,64 06 29 7D FF FF FF FF,6503,
,32.42ms,Serial1,18FEEF00,Data,8,FF FF FF 62 FF FF FF FA,1453,
,39.97ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,41.76ms,Serial1,,,,,,Fo
,42.34ms,Serial1,0CF00400,Data,8,FE FF 9B 64 1C FF FF FF,5E40,
,42.37ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,42.94ms,Serial1,18FFFB06,Data,8,00 05 85 F8 FF FF FF FF,522C,
