Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,170.5ms,Serial1,,,,00 00 FF 07 FF FF FF,38CB,
,171.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,171.1ms,Serial1,18FEEE00,Data,8,75 52 FF FF FF FF FF FF,11FA,
,180.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,184.4ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 1D F0 00 00 A9 0E,1E8D,
,184.4ms,Serial1,18FFFB06,Data,8,00 05 7D F8 FF FF FF FF,6C54,
,190.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,190.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,200.5ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,200.6ms,Serial1,18FEDF00,Data,8,7D 52 1D FF FF FF FF FF,776C,
,203.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,203.9ms,Serial1,04EF0006,Data,8,64 15 1E F0 00 00 A9 0E,3CF9,
,210.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,210.6ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,211.1ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,220.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,223.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,224.4ms,Serial1,04EF0006,Data,8,64 15 1F F0 00 00 A9 0E,22D5,
,224.4ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,225.0ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,225.6ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,226.2ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,230.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,231.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,231.1ms,Serial1,18EF0600,Data,8,64 0E 79 00 FF FF FF FF,4CF9,
,232.8ms,Serial1,1CFFFF17,Data,8,22 FF FF 3C FF FF FF FF,5690,
,240.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,242.8ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,244.0ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 10 F0 00 00 A9 0E,4CE8,
,250.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,250.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,251.6ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,251.7ms,Serial1,18FEF700,Data,8,FF FF FF FF FF FF F7 00,69A3,
,260.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,263.9ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,263.9ms,Serial1,04EF0006,Data,8,64 15 11 F0 00 00 A9 0E,52C4,
,264.4ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,265.0ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,270.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,270.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,280.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,283.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,283.9ms,Serial1,04EF0006,Data,8,64 15 12 F0 00 00 A9 0E,70B0,
,290.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,290.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,300.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,303.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,304.4ms,Serial1,04EF0006,Data,8,64 15 13 F0 00 00 A9 0E,6E9C,
,304.4ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,305.0ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,305.6ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,310.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,310.6ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,311.1ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,320.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,323.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,323.9ms,Serial1,04EF0006,Data,8,64 15 14 F0 00 00 A9 0E,3458,
,329.9ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,330.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
