Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,?,Serial1,,,,FF 07 FF FF FF,38CB,
,171.1ms,Serial1,18EFFF00,Data,8,64 06 00 7D FF FF FF FF 64 10 0B 0B 20 03 00 7D,7656,
,171.7ms,Serial1,18FEF600,Data,8,FF 00 47 FF 00 FF FF FF,5600,
,180.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,182.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,182.9ms,Serial1,04EF0006,Data,8,64 15 10 F0 00 00 A9 0E,4CE8,
,183.1ms,Serial1,00067F24,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,183.5ms,Serial1,0CFFFF47,Data,8,5D FF FF F3 FF FF FF FF,66E2,
,184.1ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,184.7ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,190.5ms,Serial1,0CEFFF00,Data,8,FF 00 00 FF 07 FF FF FF 64 06 00 7D FF FF FF FF,59AB,
,200.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,201.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,202.4ms,Serial1,04EF0006,Data,8,64 15 11 F0 00 00 A9 0E,52C4,
,210.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 06 FF FF FF,2633,
,210.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,220.5ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,220.6ms,Serial1,18FFFA00,Data,8,02 2C 00 00 28 0C 00 A5,0DA6,
,221.8ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,223.5ms,Serial1,0CFFFE06,Data,8,64 15 12 F0 00 00 93 0E 5C 27 1D 27 1D FF FF FF,1091,
,223.6ms,Serial1,000C7F78,Data,8,FF 00 00 FF FF FF FF FF,4559,
,224.1ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,230.6ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,231.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,231.2ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,240.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,241.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,242.4ms,Serial1,04EF0006,Data,8,64 15 13 F0 00 00 A9 0E,6E9C,
,250.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,250.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,251.1ms,Serial1,18EF0600,Data,8,64 0E ED 00 FF FF FF FF,044F,
,251.7ms,Serial1,18FEF500,Data,8,C9 FF FF FF FF 48 FF FF,4697,
,260.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,261.3ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,263.1ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 14 F0 00 00 A9 0E,3458,
,263.1ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,263.6ms,Serial1,18FFFF06,Data,8,73 FF FF FF FF FF FF FF,05EE,
,270.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 06 FF FF FF,2633,
,270.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,271.1ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,280.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,282.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,282.5ms,Serial1,,,,64 15 15 F0 00 00 93 0E,44F7,
,290.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,290.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,291.6ms,Serial1,18FE6900,Data,8,1C 26 8A 2B FF FF 60 FE,0FE2,
,291.7ms,Serial1,1CFFFF17,Data,8,22 FF FF 3C FF FF FF FF,5690,
,300.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,302.4ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 16 F0 00 00 A9 0E,0800,
,302.9ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,304.1ms,Serial1,0CFE4347,Data,8,FC FF FF FF FF FF FF FF 00 00 FF FF 3F FF FF FF,3824,
,304.7ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,305.3ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,310.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,310.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,320.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,320.6ms,Serial1,18FEDF00,Data,8,7D 52 1D FF FF FF FF FF,776C,
,322.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,322.4ms,Serial1,04EF0006,Data,8,64 15 17 F0 00 00 A9 0E,162C,
,330.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 06 FF FF FF,2633,
,331.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,331.1ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,340.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,342.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,342.9ms,Serial1,04EF0006,Data,8,64 15 18 F0 00 00 93 0E,1692,
,343.5ms,Serial1,0CFFFE06,Data,8,5C 27 1D 27 1D FF FF FF,1091,
,343.5ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,344.1ms,Serial1,18F00647,Data,8,FF CF FF FF FF FF FF FF,7671,
,344.7ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,350.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,351.1ms,Serial1,18EF0600,Data,8,64 06 00 7D FF FF FF FF 64 0E F7 00 FF FF FF FF,651C,
,360.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,361.3ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,362.5ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 19 F0 00 00 A9 0E,663D,
,370.0ms,Serial1,,,,,,
,550.5ms,Serial1,,,,FF 00 00 FF 07 FF FF FF,38CB,
,551.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,551.1ms,Serial1,18EF0600,Data,8,64 0E 0B 00 FF FF FF FF,23D4,
,560.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,561.3ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,562.5ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,562.5ms,Serial1,04EF0006,Data,8,64 15 13 F0 00 00 A9 0E,6E9C,
,569.9ms,Serial1,0CF00300,Data,8,FF 00 00 FF 06 FF FF FF,2633,
,570.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,571.1ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,571.7ms,Serial1,18FEDF00,Data,8,7D 52 1D FF FF FF FF FF,776C,
,580.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,582.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,582.4ms,Serial1,04EF0006,Data,8,64 15 14 F0 00 00 93 0E,5ADB,
,582.9ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,583.5ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,584.1ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,584.7ms,Serial1,0CFFFE06,Data,8,5C 27 1D 27 1D FF FF FF,1091,
,590.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,591.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,591.1ms,Serial1,18FEEF00,Data,8,FF FF FF 00 FF FF FF FA,7898,
,600.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,602.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,602.4ms,Serial1,04EF0006,Data,8,64 15 15 F0 00 00 A9 0E,2A74,
,610.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,610.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,620.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,622.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,622.4ms,Serial1,04EF0006,Data,8,64 15 16 F0 00 00 A9 0E,0800,
,623.5ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,623.5ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,624.1ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,630.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 06 FF FF FF,2633,
,630.6ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
