Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,170.5ms,Serial1,,,,FF FF FF,1A4A,
,170.5ms,Serial1,04EF0006,Data,8,64 15 11 F0 73 19 93 0E,2E90,
,180.5ms,Serial1,0CF00300,Data,8,FF 00 18 FF 07 FF FF FF,65C0,
,181.1ms,Serial1,0CEFFF00,Data,8,64 06 1B 7D FF FF FF FF,26D4,
,181.2ms,Serial1,18EFFF00,Data,8,64 10 0C 0C C4 02 0E 7D,12BF,
,188.4ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,189.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,190.0ms,Serial1,0CF00400,Data,8,FE FF 96 3E 1C FF FF FF,7A8B,
,190.6ms,Serial1,04EF0006,Data,8,64 15 12 F0 73 19 A9 0E,6267,
,191.6ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,191.8ms,Serial1,000C7FFD,Data,8,00 05 87 F8 FF FF FF FF,6E74,
,199.9ms,Serial1,0CF00300,Data,8,FF 00 1D FF 07 FF FF FF,035C,
,200.5ms,Serial1,0CEFFF00,Data,8,64 06 1D 7D FF FF FF FF,623C,
,201.1ms,Serial1,18FE6900,Data,8,76 25 BA 2B FF FF 60 FE,5E92,
,208.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,210.0ms,Serial1,0CF00400,Data,8,FE FF 96 32 1C FF FF FF,473D,
,210.5ms,Serial1,04EF0006,Data,8,64 15 13 F0 D0 18 A9 0E,105E,
,220.5ms,Serial1,0CF00300,Data,8,FF 00 22 FF 06 FF FF FF,0C16,
,220.5ms,Serial1,0CEFFF00,Data,8,64 06 36 7D FF FF FF FF,62CC,
,228.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,231.1ms,Serial1,04EF0006,Data,8,FE FF A0 2C 1C FF FF FF 64 15 14 F0 07 19 93 0E,4259,
,231.7ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,232.3ms,Serial1,18FEDF00,Data,8,8B 3E 1C FF FF FF FF FF,5FA2,
,232.3ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,232.9ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,233.5ms,Serial1,0CFFFE06,Data,8,5C 27 1D 27 1D FF FF FF,1091,
,240.5ms,Serial1,0CF00300,Data,8,FF 00 21 FF 06 FF FF FF,2E62,
,241.1ms,Serial1,0CEFFF00,Data,8,64 06 29 7D FF FF FF FF,6503,
,241.1ms,Serial1,18FEF200,Data,8,1F 00 FF FF FF FF FF FF,0152,
,248.8ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,250.0ms,Serial1,0CF00400,Data,8,F0 FF 9B 32 1C FF FF FF,481C,
,250.5ms,Serial1,04EF0006,Data,8,64 15 15 F0 11 19 93 0E,7ED7,
,260.6ms,Serial1,0CF00300,Data,8,FF 00 1C FF 07 FF FF FF,1D70,
,261.2ms,Serial1,0CEFFF00,Data,8,64 06 1E 7D FF FF FF FF,4048,
,261.2ms,Serial1,18EF0600,Data,8,64 0E EB 00 FF FF FF FF,40A7,
,268.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,270.6ms,Serial1,04EF0006,Data,8,64 15 16 F0 07 19 A9 0E,1082,
,270.6ms,Serial1,0CF00400,Data,8,FE FF 97 3A 1C FF FF FF,7035,
,271.7ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,271.7ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,272.3ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,280.5ms,Serial1,0CF00300,Data,8,FF 00 1C FF 07 FF FF FF,1D70,
,281.1ms,Serial1,0CEFFF00,Data,8,64 06 15 7D FF FF FF FF,56C5,
,281.1ms,Serial1,18EFFF00,Data,8,64 10 0C 0C C4 02 0F 7D,5699,
,288.4ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,289.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,290.0ms,Serial1,0CF00400,Data,8,FE FF 93 3E 1C FF FF FF,1C17,
,290.6ms,Serial1,04EF0006,Data,8,64 15 17 F0 CC 18 A9 0E,45E5,
,299.9ms,Serial1,0CF00300,Data,8,FF 00 20 FF 07 FF FF FF,2EB6,
,300.5ms,Serial1,0CEFFF00,Data,8,64 06 31 7D FF FF FF FF,3808,
,308.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,310.0ms,Serial1,0CF00400,Data,8,FE FF 9E 40 1C FF FF FF,4D47,
,310.6ms,Serial1,04EF0006,Data,8,64 15 18 F0 CC 18 A9 0E,2BD8,
,311.2ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,312.3ms,Serial1,18FFFB06,Data,8,00 05 81 F8 FF FF FF FF,2A9C,
,312.4ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,312.9ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,320.5ms,Serial1,0CF00300,Data,8,FF 00 20 FF 07 FF FF FF,2EB6,
,321.1ms,Serial1,0CEFFF00,Data,8,64 06 24 7D FF FF FF FF,3766,
,321.1ms,Serial1,18FD7C00,Data,8,F8 80 F1 F4 00 CF 03 FC,678E,
,328.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,330.0ms,Serial1,0CF00400,Data,8,FE FF 99 3C 1C FF FF FF,1EFF,
