Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,?,Serial1,,,,FF FF FF FF FF F5,5242,
,213.0ms,Serial1,04EF0006,Data,8,64 15 14 F0 0B 19 3B 0E,26DB,
,221.2ms,Serial1,0CF00300,Data,8,FF 00 1C FF 02 FF FF FF,7868,
,221.8ms,Serial1,0CEFFF00,Data,8,64 06 1E 7D FF FF FF FF,4048,
,221.9ms,Serial1,18EFFF00,Data,8,64 10 0C 0C C4 02 0F 7D,5699,
,230.6ms,Serial1,0CF00400,Data,8,F0 FF 96 22 1C FF FF FF,4831,
,231.6ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,232.8ms,Serial1,04EF0006,Data,8,64 15 15 F0 04 19 3B 0E,5246,
,233.4ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,234.0ms,Serial1,0CFFFF47,Data,8,5D FF FF F3 FF FF FF FF,66E2,
,234.6ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,235.2ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,235.7ms,Serial1,0CFFFE06,Data,8,5C 77 1C 77 1C FF FF FF,5539,
,240.5ms,Serial1,0CF00300,Data,8,FF 00 1C FF 02 FF FF FF,7868,
,241.1ms,Serial1,0CEFFF00,Data,8,64 06 1D 7D FF FF FF FF,623C,
,250.6ms,Serial1,0CF00400,Data,8,F0 FF 96 2A 1C FF FF FF,6115,
,251.5ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,252.8ms,Serial1,04EF0006,Data,8,64 15 16 F0 0B 19 3B 0E,1A83,
,261.7ms,Serial1,0CEFFF00,Data,8,FF 00 1C FF 02 FF FF FF 64 06 1C 7D FF FF FF FF,7C10,
,261.9ms,Serial1,000C7EBE,Data,8,F8 80 F1 F0 00 CF 03 FC,731C,
,270.6ms,Serial1,0CF00400,Data,8,F0 FF 96 26 1C FF FF FF,5CA3,
,271.5ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,273.3ms,Serial1,04EF0006,Data,8,64 15 17 F0 11 19 3B 0E,6FB4,
,273.3ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,273.9ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,281.7ms,Serial1,0CEFFF00,Data,8,FF 00 1C FF 02 FF FF FF 64 06 1C 7D FF FF FF FF,7C10,
,281.8ms,Serial1,18FEF200,Data,8,1A 00 FF FF FF FF FF FF,4409,
,290.6ms,Serial1,0CF00400,Data,8,F0 FF 96 28 1C FF FF FF,6B5C,
,291.5ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,292.8ms,Serial1,04EF0006,Data,8,64 15 18 F0 0B 19 3B 0E,6A92,
