Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,?,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,Form
,235.8ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,236.4ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,237.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,237.7ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,238.4ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,239.0ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,239.6ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,239.7ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,Form
,240.9ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,241.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,242.2ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,242.8ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,243.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,244.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,244.7ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,244.8ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,Form
,246.0ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,246.6ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,247.3ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,247.9ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,248.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,249.2ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,249.8ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,249.9ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,Form
,251.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,251.7ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,252.4ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,253.0ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,253.6ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,254.3ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
,254.9ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,,
