Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-139.5ms,Serial1,0CEFFF00,Data,8,FF 00 28 FF 07 FF FF FF 64 06 37 7D FF FF FF FF,7CE0,
,-139.4ms,Serial1,18EF0600,Data,8,64 0E 15 00 FF FF FF FF,3A37,
,-135.4ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,-134.2ms,Serial1,04EF0006,Data,8,64 15 15 F0 11 19 A9 0E,1054,
,-130.6ms,Serial1,0CF00400,Data,8,F0 FF A0 26 1C FF FF FF,67C4,
,-120.3ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,-119.2ms,Serial1,0CEFFF00,Data,8,64 06 38 7D FF FF FF FF,12DD,
,-118.6ms,Serial1,18EFFF00,Data,8,64 10 01 01 E5 02 05 7D,788D,
,-118.6ms,Serial1,18FEF700,Data,8,FF FF FF FF FF FF 1A 01,0711,
,-117.4ms,Serial1,1CEBFF00,Data,8,04 20 4E 00 01 FA C9 FA,6680,
,-115.8ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-115.2ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-114.0ms,Serial1,04EF0006,Data,8,64 15 16 F0 0B 19 A9 0E,593B,
,-113.5ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,-110.6ms,Serial1,0CF00400,Data,8,F0 FF A1 28 1C FF FF FF,4E17,
,-100.0ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,-100.0ms,Serial1,0CEFFF00,Data,8,64 06 38 7D FF FF FF FF,12DD,
,-95.39ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-94.18ms,Serial1,04EF0006,Data,8,64 15 17 F0 11 19 A9 0E,2C0C,
,-90.59ms,Serial1,0CF00400,Data,8,F0 FF A1 2C 1C FF FF FF,5A85,
,-79.97ms,Serial1,0CEFFF00,Data,8,FF 00 28 FF 07 FF FF FF 64 06 37 7D FF FF FF FF,7CE0,
,-75.42ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-73.63ms,Serial1,04EF0006,Data,8,64 15 18 F0 11 19 A9 0E,4231,
,-73.06ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,-72.90ms,Serial1,00067F21,Data,8,00 00 FF FF 3F FF FF FF,3824,
,-72.45ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,-70.46ms,Serial1,0CF00400,Data,8,F0 FF A0 26 1C FF FF FF,67C4,
,-65.25ms,Serial1,1CEBFF00,Data,8,05 C0 5D 00 00 FF FF FF,3F13,
,-60.00ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,-59.42ms,Serial1,0CEFFF00,Data,8,64 06 38 7D FF FF FF FF,12DD,
,-59.39ms,Serial1,18FEF200,Data,8,28 00 FF FF FF FF FF FF,309D,
,-55.42ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-54.27ms,Serial1,0C000006,Data,8,30 FF FF FF F8 FF FF FF,0E0E,
,-53.66ms,Serial1,04EF0006,Data,8,64 15 19 F0 0B 19 A9 0E,3706,
,-50.56ms,Serial1,0CF00400,Data,8,F0 FF A1 26 1C FF FF FF,79E8,
,-39.94ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,-39.36ms,Serial1,18EF0600,Data,8,64 06 38 7D FF FF FF FF 64 0E 1F 00 FF FF FF FF,3296,
,-35.42ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-34.18ms,Serial1,04EF0006,Data,8,64 15 1A F0 0B 19 A9 0E,1572,
,-33.09ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,-33.06ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,-32.48ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-30.40ms,Serial1,0CF00400,Data,8,F0 FF A1 2E 1C FF FF FF,50CC,
,-20.00ms,Serial1,0CF00300,Data,8,FF 00 27 FF 07 FF FF FF,7472,
,-19.97ms,Serial1,0CEFFF00,Data,8,64 06 37 7D FF FF FF FF,7CE0,
,-18.85ms,Serial1,18EFFF00,Data,8,64 10 01 01 E6 02 05 7D,5B85,
,-18.82ms,Serial1,18FED500,Data,8,FF FF FD FF FF FF FF FF,0710,
,-18.08ms,Serial1,1CFECA00,Data,6,04 FF 64 00 04 00,7229,
,-15.84ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-15.17ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,-13.92ms,Serial1,04EF0006,Data,8,64 15 1B F0 11 19 A9 0E,6045,
