Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-149.9ms,Serial1,0CF00400,Data,8,FE FF 9D 24 1C FF FF FF,1D23,
,-139.9ms,Serial1,0CF00300,Data,8,FF 00 24 FF 07 FF FF FF,5606,
,-138.8ms,Serial1,0CEFFF00,Data,8,64 06 2F 7D FF FF FF FF,21EB,
,-138.7ms,Serial1,18FEEF00,Data,8,FF FF FF 63 FF FF FF FA,73BB,
,-137.3ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-136.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-135.5ms,Serial1,04EF0006,Data,8,64 15 1D F0 0B 19 A9 0E,4FB6,
,-130.0ms,Serial1,0CF00400,Data,8,FE FF 9D 24 1C FF FF FF,1D23,
,-120.1ms,Serial1,0CF00300,Data,8,FF 00 23 FF 07 FF FF FF,0CC2,
,-119.5ms,Serial1,0CEFFF00,Data,8,64 06 2D 7D FF FF FF FF,1DB3,
,-116.9ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-115.1ms,Serial1,04EF0006,Data,8,64 15 1E F0 0B 19 A9 0E,6DC2,
,-114.5ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,-114.3ms,Serial1,00067F21,Data,8,00 00 FF FF 3F FF FF FF,3824,
,-113.9ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,-110.0ms,Serial1,0CF00400,Data,8,FE FF 9D 26 1C FF FF FF,176A,
,-99.74ms,Serial1,0CF00300,Data,8,FF 00 24 FF 07 FF FF FF,5606,
,-99.17ms,Serial1,0CEFFF00,Data,8,64 06 2D 7D FF FF FF FF,1DB3,
,-98.59ms,Serial1,18FEF200,Data,8,21 00 FF FF FF FF FF FF,437B,
,-96.90ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-95.65ms,Serial1,04EF0006,Data,8,64 15 1F F0 0B 19 A9 0E,73EE,
,-89.98ms,Serial1,0CF00400,Data,8,FE FF 9D 22 1C FF FF FF,03F8,
,-80.06ms,Serial1,0CF00300,Data,8,FF 00 24 FF 07 FF FF FF,5606,
,-78.91ms,Serial1,0CEFFF00,Data,8,64 06 2F 7D FF FF FF FF,21EB,
,-78.88ms,Serial1,18EF0600,Data,8,64 0E 8B 00 FF FF FF FF,7A20,
,-76.83ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-75.07ms,Serial1,,,,64 15 10 F0 0B 19 A9 0E,1DD3,
,-75.04ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
