Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,137.0ms,Serial1,,,,,,Form
,?,Serial1,,,,,,Form
,165.7ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,0023,Frame
,166.8ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,Frame
,168.0ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20 4D 74 30 04 00 34 02 20,,
,168.5ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,169.1ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,170.3ms,Serial1,18EEFF47,Data,8,30 04 00 34 02 20 4D 74 30 04 00 34 02 20 4D 74 30 04 00 34 02 20,0023,Frame
,171.5ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,Frame
,172.6ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20 4D 74 30 04 00 34 02 20,,
,173.2ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,173.8ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,174.9ms,Serial1,18EEFF47,Data,8,30 04 00 34 02 20 4D 74 30 04 00 34 02 20,,
,175.0ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,0023,Form
,176.2ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,176.8ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,177.4ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,178.0ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,178.6ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,179.2ms,Serial1,,,,30 04 00 34 02 20,,
,179.8ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,Form
,179.9ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,0023,Form
,181.1ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,181.7ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,182.3ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,182.9ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,183.5ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,184.1ms,Serial1,,,,30 04 00 34 02 20,,
,184.7ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,Form
,184.8ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,0023,Form
,186.0ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,186.6ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,187.2ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,187.8ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,188.4ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,
,189.0ms,Serial1,,,,30 04 00 34 02 20,,
,189.6ms,Serial1,18EEFF47,Data,8,4D 74 30 04 00 34 02 20,,Form
