Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-149.9ms,Serial1,,,,,,
,-149.2ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-148.6ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-147.9ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-147.3ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-146.7ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-146.6ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,702A,Form
,-145.4ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,Form
,-144.8ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-144.1ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-143.5ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-142.8ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-142.2ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-141.6ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-141.5ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,702A,Form
,-140.4ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,Form
,-139.7ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-139.0ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-138.4ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-137.8ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-137.1ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-136.5ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-136.4ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,702A,Form
,-135.3ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,Form
,-134.6ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-134.0ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-133.3ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-132.7ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-132.0ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-131.4ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-130.8ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-130.7ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,702A,Form
,-129.5ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-128.9ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-128.2ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-127.6ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-126.9ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-126.3ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-125.7ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-125.6ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,702A,Form
,-124.5ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-123.8ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-123.2ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-122.6ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-121.9ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-121.3ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-120.6ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-120.5ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,702A,Form
,-119.4ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-118.8ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
,-118.1ms,Serial1,0CEFFF00,Data,8,64 06 F6 7C FF FF FF FF,,
