Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,170.5ms,Serial1,,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,170.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,171.1ms,Serial1,18EF0600,Data,8,64 0E BD 00 FF FF FF FF,4147,
,171.7ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,172.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,173.4ms,Serial1,04EF0006,Data,8,64 15 17 F0 00 00 A9 0E,162C,
,173.4ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,180.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,189.9ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,190.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,191.6ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,191.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,192.8ms,Serial1,04EF0006,Data,8,64 15 18 F0 00 00 A9 0E,7811,
,192.8ms,Serial1,18FEF600,Data,8,FF 00 45 FF 00 FF FF FF,6A58,
,200.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,210.5ms,Serial1,18EFFA00,Data,8,64 01 FF 00 00 FF FF FF,159B,
,211.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,211.1ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,212.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,212.4ms,Serial1,,,,64 15 19 F0 00 00 A9 0E,663D,
,212.8ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,213.6ms,Serial1,,,,5D FF FF F3 FF FF FF FF,66E2,
,214.0ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,214.6ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,220.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,230.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,230.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,231.6ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,232.2ms,Serial1,04EF0006,Data,8,64 15 1A F0 00 00 A9 0E,4449,
,240.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,251.1ms,Serial1,0CEFFF00,Data,8,FF 00 00 FF 07 FF FF FF 64 06 00 7D FF FF FF FF,59AB,
,251.7ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,251.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,252.9ms,Serial1,04EF0006,Data,8,64 15 1B F0 00 00 A9 0E,5A65,
,252.9ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,253.5ms,Serial1,18FFFB06,Data,8,00 1B FF FF FF FF FF FF,6E40,
,254.1ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,260.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,270.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,271.1ms,Serial1,18EF0600,Data,8,64 06 00 7D FF FF FF FF 64 0E C7 00 FF FF FF FF,1A93,
,271.7ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,272.9ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 1C F0 00 00 A9 0E,00A1,
,280.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,290.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 06 FF FF FF,2633,
,291.1ms,Serial1,18EFFF00,Data,8,64 06 00 7D FF FF FF FF 64 10 0B 0B 20 03 00 7D,7656,
,291.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,292.8ms,Serial1,04EF0006,Data,8,64 15 1D F0 00 00 A9 0E,1E8D,
,293.4ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,294.0ms,Serial1,18FE6847,Data,8,47 FF FF FF FF FF FF FF,4F28,
,294.5ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,294.6ms,Serial1,18FFFF06,Data,8,73 FF FF FF FF FF FF FF,05EE,
,295.1ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,295.7ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,300.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,310.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,310.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,311.1ms,Serial1,18FEEE00,Data,8,74 4D FF FF FF FF FF FF,2E30,
,312.3ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 1E F0 00 00 93 0E,527A,
,320.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,330.5ms,Serial1,0CEFFF00,Data,8,FF 00 00 FF 07 FF FF FF 64 06 00 7D FF FF FF FF,59AB,
,331.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,332.8ms,Serial1,04EF0006,Data,8,64 15 1F F0 00 00 A9 0E,22D5,
,332.8ms,Serial1,0CFFFF47,Data,8,5E FF FF FF FF FF FF FF,679D,
,333.5ms,Serial1,000C7F78,Data,8,FF 00 00 FF FF FF FF FF,4559,
,334.5ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,334.6ms,Serial1,18FEFC47,Data,8,FF FF FF FF FF FF FF FF,5238,
,335.1ms,Serial1,18EF0047,Data,8,F2 20 61 0F FF FF FF FF,180E,
,335.7ms,Serial1,18F00647,Data,8,FF CF FF FF FF FF FF FF,7671,
,336.9ms,Serial1,1CFDDF47,Data,8,FC FF FF FF FF FF FF FF,5009,
,336.9ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,340.5ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,340.6ms,Serial1,18FEDF00,Data,8,7D 26 1D FF FF FF FF FF,3FC3,
,350.6ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,351.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,351.2ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,351.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,352.3ms,Serial1,04EF0006,Data,8,64 15 10 F0 00 00 A9 0E,4CE8,
,360.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,370.0ms,Serial1,,,,,,
,550.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,551.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,551.2ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,552.3ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 1A F0 00 00 93 0E,2ACA,
,560.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,570.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,571.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,571.7ms,Serial1,18EF0600,Data,8,64 0E E5 00 FF FF FF FF,30B6,
,571.7ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,572.9ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,573.0ms,Serial1,,,,64 15 1B F0 00 00 A9 0E,5A65,
,573.4ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,580.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,591.1ms,Serial1,0CEFFF00,Data,8,FF 00 00 FF 07 FF FF FF 64 06 00 7D FF FF FF FF,59AB,
,591.1ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,592.8ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 1C F0 00 00 A9 0E,00A1,
,593.4ms,Serial1,18FEDF00,Data,8,7D 52 1D FF FF FF FF FF,776C,
,593.4ms,Serial1,1CECFF00,Data,8,20 22 00 05 FF E3 FE 00,69B2,
,600.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,610.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 06 FF FF FF,2633,
,611.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,611.7ms,Serial1,18FEEF00,Data,8,FF FF FF 00 FF FF FF FA,7898,
,611.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,612.8ms,Serial1,04EF0006,Data,8,64 15 1D F0 00 00 A9 0E,1E8D,
,612.9ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,613.4ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,614.0ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,620.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,630.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,630.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,632.2ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,632.2ms,Serial1,04EF0006,Data,8,64 15 1E F0 00 00 93 0E,527A,
,640.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,643.4ms,Serial1,1CEBFF00,Data,8,01 20 1C DD 68 42 DC A0,17F7,
,650.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,650.6ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,651.2ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,652.3ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,652.3ms,Serial1,04EF0006,Data,8,64 15 1F F0 00 00 A9 0E,22D5,
,653.4ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,653.5ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,654.0ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,660.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,670.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,671.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,671.7ms,Serial1,18EF0600,Data,8,64 0E EF 00 FF FF FF FF,3817,
,671.8ms,Serial1,0006F783,Data,8,01 04 FF FF FF FF FF F1,59F0,
,672.9ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,672.9ms,Serial1,04EF0006,Data,8,64 15 10 F0 00 00 A9 0E,4CE8,
,680.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,690.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,691.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,692.2ms,Serial1,0DEF0603,Data,8,64 10 0B 0B 20 03 00 7D 01 01 FF FF FF FF FF F5,5242,
,692.3ms,Serial1,04EF0006,Data,8,64 15 11 F0 00 00 A9 0E,52C4,
,692.8ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,693.4ms,Serial1,18FEF600,Data,8,FF 00 45 FF 00 FF FF FF,6A58,
,694.0ms,Serial1,0CFFFF47,Data,8,5D FF FF F3 FF FF FF FF,66E2,
,695.1ms,Serial1,1CEBFF00,Data,8,02 0F D5 8D 20 E3 7A 31,1C62,
,695.1ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,695.7ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,700.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,710.5ms,Serial1,0CEFFF00,Data,8,FF 00 00 FF 06 FF FF FF 64 06 00 7D FF FF FF FF,59AB,
,712.2ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,712.4ms,Serial1,,,,64 15 12 F0 00 00 A9 0E,70B0,
,720.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,730.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,730.5ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,732.2ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,732.8ms,Serial1,04EF0006,Data,8,64 15 13 F0 00 00 93 0E,001F,
,732.9ms,Serial1,0CFFFE06,Data,8,5C 27 1D 27 1D FF FF FF,1091,
,733.4ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,734.1ms,Serial1,000C7802,Data,8,7D FF FF FF FF FF FF FF,115D,
,740.6ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,740.6ms,Serial1,18FFFA00,Data,8,02 2C 00 00 28 0C 00 A5,0DA6,
,920.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,930.0ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,931.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,931.1ms,Serial1,18FD7C00,Data,8,F8 80 F1 F0 00 CF 03 FC,731C,
,932.8ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 1D F0 00 00 A9 0E,1E8D,
,933.4ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,933.4ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,934.0ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,940.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,950.6ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,951.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,951.7ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,951.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,952.3ms,Serial1,04EF0006,Data,8,64 15 1E F0 00 00 A9 0E,3CF9,
,960.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,970.5ms,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,971.1ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,971.7ms,Serial1,18EF0600,Data,8,64 0E 0D 00 FF FF FF FF,673C,
,971.8ms,Serial1,0006F783,Data,8,01 04 FF FF FF FF FF F1,59F0,
,972.9ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,972.9ms,Serial1,04EF0006,Data,8,64 15 1F F0 00 00 A9 0E,22D5,
,980.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,991.1ms,Serial1,0CEFFF00,Data,8,FF 00 00 FF 07 FF FF FF 64 06 00 7D FF FF FF FF,59AB,
,991.1ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,992.3ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 10 F0 00 00 A9 0E,4CE8,
,1.000s,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,1.011s,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,1.011s,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,1.012s,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,1.013s,Serial1,04EF0006,Data,8,64 15 11 F0 00 00 A9 0E,52C4,
,1.013s,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,1.013s,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,1.014s,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,1.015s,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,1.020s,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,1.030s,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,1.031s,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,1.032s,Serial1,0DEF0603,Data,8,FF FF 56 33 FF FF FF FF 01 01 FF FF FF FF FF F5,5242,
,1.032s,Serial1,,,,64 15 12 F0 00 00 A9 0E,70B0,
,1.033s,Serial1,1CEFFF00,Data,8,64 07 00 00 FF FF FF FF,7B0B,
,1.040s,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,1.050s,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,1.051s,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,1.052s,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,1.052s,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,1.052s,Serial1,04EF0006,Data,8,64 15 13 F0 00 00 A9 0E,6E9C,
,1.053s,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,1.053s,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,1.060s,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,1.071s,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
,1.071s,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,1.072s,Serial1,18EF0600,Data,8,64 0E 17 00 FF FF FF FF,066F,
,1.072s,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,1.073s,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,1.073s,Serial1,04EF0006,Data,8,64 15 14 F0 00 00 A9 0E,3458,
,1.080s,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,1.090s,Serial1,0CF00300,Data,8,FF 00 00 FF 07 FF FF FF,38CB,
