Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,172.1ms,Serial1,0CF00300,Data,8,FF 00 23 FF 06 FF FF FF,123A,
,172.7ms,Serial1,0CEFFF00,Data,8,64 06 12 7D FF FF FF FF,0C01,
,172.7ms,Serial1,18EF0600,Data,8,64 0E 23 00 FF FF FF FF,0150,
,179.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,181.1ms,Serial1,04EF0006,Data,8,64 15 12 F0 73 19 93 0E,0CE4,
,182.1ms,Serial1,0CFFFE06,Data,8,5C 27 1D 27 1D FF FF FF,1091,
,182.2ms,Serial1,0CF00400,Data,8,FE FF 92 66 1C FF FF FF,7EDC,
,182.7ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,183.3ms,Serial1,18FFFB06,Data,8,00 1B FF FF FF FF FF FF,6E40,
,183.9ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,192.1ms,Serial1,0CF00300,Data,8,FF 00 12 FF 07 FF FF FF,6D61,
,192.7ms,Serial1,0CEFFF00,Data,8,64 06 1C 7D FF FF FF FF,7C10,
,193.3ms,Serial1,18EFFF00,Data,8,64 10 0C 0C C2 02 0B 7D,4EBA,
,193.3ms,Serial1,18FEDF00,Data,8,8B 3C 1C FF FF FF FF FF,76D9,
,199.4ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,200.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,201.7ms,Serial1,04EF0006,Data,8,64 15 13 F0 73 19 A9 0E,7C4B,
,201.8ms,Serial1,0CF00400,Data,8,FE FF 96 70 1C FF FF FF,4AFF,
,212.1ms,Serial1,0CF00300,Data,8,FF 00 1F FF 07 FF FF FF,3F04,
,212.7ms,Serial1,0CEFFF00,Data,8,64 06 0E 7D FF FF FF FF,29BA,
,212.7ms,Serial1,18FEEF00,Data,8,FF FF FF 52 FF FF FF FA,2712,
,219.8ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,221.1ms,Serial1,04EF0006,Data,8,64 15 14 F0 D0 18 A9 0E,4A9A,
,221.6ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,222.7ms,Serial1,0CF00400,Data,8,FE FF 91 82 1C FF FF FF,21AE,
,222.8ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,223.5ms,Serial1,,,,47 FF FF FF FF FF FF FF,4F28,
,224.0ms,Serial1,00067F22,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,225.1ms,Serial1,18FFFF06,Data,8,73 FF FF FF FF FF FF FF,05EE,
,225.6ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,225.6ms,Serial1,18FFFB06,Data,8,00 05 83 F8 FF FF FF FF,16C4,
,231.6ms,Serial1,0CF00300,Data,8,FF 00 19 FF 07 FF FF FF,7BEC,
,232.2ms,Serial1,0CEFFF00,Data,8,64 06 15 7D FF FF FF FF,56C5,
,239.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,241.0ms,Serial1,04EF0006,Data,8,64 15 15 F0 2A 19 A9 0E,694A,
,241.6ms,Serial1,0CF00400,Data,8,FE FF 93 8E 1C FF FF FF,2040,
,251.6ms,Serial1,0CF00300,Data,8,FF 00 18 FF 07 FF FF FF,65C0,
,252.2ms,Serial1,0CEFFF00,Data,8,64 06 12 7D FF FF FF FF,0C01,
,252.7ms,Serial1,18FEF200,Data,8,16 00 FF FF FF FF FF FF,72B4,
,259.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,261.0ms,Serial1,04EF0006,Data,8,64 15 16 F0 30 19 A9 0E,2025,
,261.6ms,Serial1,0CFFFF47,Data,8,5E FF FF FF FF FF FF FF,679D,
,262.7ms,Serial1,0CF00400,Data,8,FE FF 92 8E 1C FF FF FF,3E6C,
,262.9ms,Serial1,000C7F78,Data,8,FF 00 00 FF FF FF FF FF,4559,
,263.3ms,Serial1,18FEFC47,Data,8,FF FF FF FF FF FF FF FF,5238,
,263.9ms,Serial1,18EF0047,Data,8,F2 20 61 0F FF FF FF FF,180E,
,264.5ms,Serial1,18F00647,Data,8,FF CF FF FF FF FF FF FF,7671,
,265.1ms,Serial1,1CFDDF47,Data,8,FC FF FF FF FF FF FF FF,5009,
,265.7ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,272.4ms,Serial1,0CF00300,Data,8,FF 00 19 FF 07 FF FF FF,7BEC,
,273.0ms,Serial1,0CEFFF00,Data,8,64 06 16 7D FF FF FF FF,74B1,
,273.0ms,Serial1,18EF0600,Data,8,64 0E 2D 00 FF FF FF FF,7141,
,279.8ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,281.1ms,Serial1,04EF0006,Data,8,64 15 17 F0 30 19 A9 0E,3E09,
,281.6ms,Serial1,0CF00400,Data,8,FE FF 94 8A 1C FF FF FF,6E16,
,292.2ms,Serial1,0CF00300,Data,8,FF 00 1B FF 07 FF FF FF,47B4,
,292.7ms,Serial1,18EFFF00,Data,8,64 06 15 7D FF FF FF FF 64 10 0C 0C C8 02 0B 7D,4113,
,293.3ms,Serial1,18FEF600,Data,8,FF 00 40 FF 00 FF FF FF,0CC4,
,299.5ms,Serial1,0006F783,Data,8,01 04 FF FF FF FF FF F1,59F0,
,300.0ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,301.7ms,Serial1,04EF0006,Data,8,64 15 18 F0 30 19 A9 0E,5034,
,301.8ms,Serial1,0CF00400,Data,8,FE FF 93 7A 1C FF FF FF,0F0E,
,311.6ms,Serial1,18EFFA00,Data,8,64 01 FF 00 00 FF FF FF,159B,
,312.2ms,Serial1,0CEFFF00,Data,8,64 06 1A 7D FF FF FF FF,38F8,
,312.7ms,Serial1,0CF00300,Data,8,FF 00 1B FF 07 FF FF FF,47B4,
,319.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,321.1ms,Serial1,04EF0006,Data,8,64 15 19 F0 2F 19 A9 0E,401B,
,321.6ms,Serial1,0CF00400,Data,8,FE FF 95 74 1C FF FF FF,7C19,
,331.6ms,Serial1,0CF00300,Data,8,FF 00 1A FF 07 FF FF FF,5998,
,332.1ms,Serial1,0CEFFF00,Data,8,64 06 1A 7D FF FF FF FF,38F8,
,339.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,341.1ms,Serial1,04EF0006,Data,8,64 15 1A F0 C7 18 A9 0E,06D1,
,341.6ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,342.7ms,Serial1,0CF00400,Data,8,FE FF 95 76 1C FF FF FF,7650,
,342.9ms,Serial1,00067F21,Data,8,00 00 FF FF 3F FF FF FF,3824,
,343.3ms,Serial1,18FFFB06,Data,8,00 05 82 F8 FF FF FF FF,08E8,
,343.9ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,344.5ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,352.2ms,Serial1,0CF00300,Data,8,FF 00 1B FF 07 FF FF FF,47B4,
,352.7ms,Serial1,0CEFFF00,Data,8,64 06 18 7D FF FF FF FF,04A0,
,352.8ms,Serial1,18FEF200,Data,8,19 00 FF FF FF FF FF FF,78C0,
,359.8ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,361.1ms,Serial1,04EF0006,Data,8,64 15 1B F0 C7 18 A9 0E,18FD,
,361.7ms,Serial1,0CF00400,Data,8,FE FF 94 6C 1C FF FF FF,1959,
,542.2ms,Serial1,0CF00400,Data,8,FF FF FF FF FF FF FF FF FE FF 9A 34 1C FF FF FF,15AF,
,542.7ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,543.3ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,552.2ms,Serial1,0CF00300,Data,8,FF 00 1F FF 06 FF FF FF,21FC,
,552.7ms,Serial1,0CEFFF00,Data,8,64 06 21 7D FF FF FF FF,51FA,
,552.8ms,Serial1,18FEF200,Data,8,1C 00 FF FF FF FF FF FF,3D9B,
,559.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,561.0ms,Serial1,0C000006,Data,8,30 FF FF FF F8 FF FF FF,0E0E,
,562.1ms,Serial1,0CF00400,Data,8,64 15 15 F0 07 19 93 0E FE FF 98 3A 1C FF FF FF,1E08,
,572.1ms,Serial1,0CF00300,Data,8,FF 00 1E FF 07 FF FF FF,2128,
,572.7ms,Serial1,0CEFFF00,Data,8,64 06 23 7D FF FF FF FF,6DA2,
,572.7ms,Serial1,18EF0600,Data,8,64 0E 4B 00 FF FF FF FF,0F2E,
,579.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,581.6ms,Serial1,04EF0006,Data,8,64 15 16 F0 CC 18 A9 0E,5BC9,
,581.8ms,Serial1,,,,1D FF FF FF,7866,
,582.7ms,Serial1,0CF00400,Data,8,FE FF 99 48 1C FF FF FF,3EA7,
,582.7ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,583.3ms,Serial1,18FFFB06,Data,8,00 05 84 F8 FF FF FF FF,4C00,
,583.9ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,591.6ms,Serial1,0CF00300,Data,8,FF 00 22 FF 07 FF FF FF,12EE,
,592.2ms,Serial1,0CEFFF00,Data,8,64 06 09 7D FF FF FF FF,737E,
,592.7ms,Serial1,18EFFF00,Data,8,64 10 0C 0C C0 02 0B 7D,734A,
,593.3ms,Serial1,18FED500,Data,8,FF FF FD FF FF FF FF FF,0710,
,599.4ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,600.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,601.8ms,Serial1,04EF0006,Data,8,64 15 17 F0 0B 19 A9 0E,4717,
,601.8ms,Serial1,0CF00400,Data,8,FE FF 8F 5A 1C FF FF FF,4BBC,
,612.2ms,Serial1,0CF00300,Data,8,FF 00 1B FF 07 FF FF FF,47B4,
,612.2ms,Serial1,0CEFFF00,Data,8,64 06 1C 7D FF FF FF FF,7C10,
,619.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,621.6ms,Serial1,,,,64 15 18 F0 C6 18 A9 0E,2471,
,622.2ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,622.2ms,Serial1,0CF00400,Data,8,FE FF 96 60 1C FF FF FF,18B7,
,622.7ms,Serial1,0CFFFF47,Data,8,5D FF FF F3 FF FF FF FF,66E2,
,623.3ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,623.9ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,632.7ms,Serial1,0CEFFF00,Data,8,FF 00 1C FF 06 FF FF FF 64 06 1D 7D FF FF FF FF,623C,
,632.8ms,Serial1,18FDB300,Data,8,FF FF F4 34 FF FF FF FF,1723,
,639.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,641.0ms,Serial1,04EF0006,Data,8,64 15 19 F0 73 19 93 0E,1A69,
,641.6ms,Serial1,0CF00400,Data,8,FE FF 96 60 1C FF FF FF,18B7,
,652.2ms,Serial1,0CF00300,Data,8,FF 00 13 FF 06 FF FF FF,6DB5,
,652.7ms,Serial1,0CEFFF00,Data,8,64 06 1E 7D FF FF FF FF,4048,
,652.8ms,Serial1,18FEF200,Data,8,1B 00 FF FF FF FF FF FF,1339,
,659.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,661.6ms,Serial1,04EF0006,Data,8,64 15 1A F0 73 19 93 0E,381D,
,661.6ms,Serial1,0CFFFE06,Data,8,5C 27 1D 27 1D FF FF FF,1091,
,662.7ms,Serial1,0CF00400,Data,8,FE FF 97 62 1C FF FF FF,0CD2,
,662.7ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,663.3ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,671.6ms,Serial1,0CF00300,Data,8,FF 00 18 FF 06 FF FF FF,7B38,
,672.7ms,Serial1,0CEFFF00,Data,8,64 06 14 7D FF FF FF FF,48E9,
,672.8ms,Serial1,18EF0600,Data,8,64 0E 55 00 FF FF FF FF,16CD,
,679.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,681.0ms,Serial1,04EF0006,Data,8,64 15 1B F0 73 19 93 0E,2631,
,681.6ms,Serial1,0CF00400,Data,8,FE FF 93 62 1C FF FF FF,7462,
,692.2ms,Serial1,0CF00300,Data,8,FF 00 1C FF 07 FF FF FF,1D70,
,692.7ms,Serial1,0CEFFF00,Data,8,64 06 15 7D FF FF FF FF,56C5,
,692.8ms,Serial1,18EFFF00,Data,8,64 10 0C 0C C4 02 11 7D,0AE7,
,693.3ms,Serial1,18FEDF00,Data,8,8B 56 1C FF FF FF FF FF,20FD,
,699.4ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,700.0ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,701.7ms,Serial1,,,,64 15 1C F0 73 19 A9 0E,1276,
,701.8ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,702.8ms,Serial1,0CF00400,Data,8,FE FF 93 4C 1C FF FF FF,2294,
,702.9ms,Serial1,18FFFF06,Data,8,73 FF FF FF FF FF FF FF,05EE,
,703.6ms,Serial1,000C7FFD,Data,8,00 05 81 F8 FF FF FF FF,2A9C,
,711.7ms,Serial1,0CF00300,Data,8,FF 00 25 FF 07 FF FF FF,482A,
,712.3ms,Serial1,0CEFFF00,Data,8,64 06 1C 7D FF FF FF FF,7C10,
,712.9ms,Serial1,18FEEF00,Data,8,FF FF FF 53 FF FF FF FA,40FA,
,719.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,721.2ms,Serial1,,,,64 15 1D F0 0B 19 A9 0E,4FB6,
,721.6ms,Serial1,0CF00400,Data,8,FE FF 96 3E 1C FF FF FF,7A8B,
,727.4ms,Serial1,1CFFFF17,Data,8,22 FF FF 3C FF FF FF FF,5690,
,731.6ms,Serial1,0CF00300,Data,8,FF 00 20 FF 07 FF FF FF,2EB6,
,732.2ms,Serial1,0CEFFF00,Data,8,64 06 27 7D FF FF FF FF,1512,
,739.8ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,741.0ms,Serial1,04EF0006,Data,8,64 15 1E F0 CC 18 A9 0E,6F30,
