Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,190.4ms,Serial1,0CF00300,Data,8,FF 00 1A FF 05 FF FF FF,6468,
,191.0ms,Serial1,0CEFFF00,Data,8,64 06 18 7D FF FF FF FF,04A0,
,191.0ms,Serial1,18EF0600,Data,8,64 0E 41 00 FF FF FF FF,078F,
,191.9ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,192.5ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,193.7ms,Serial1,04EF0006,Data,8,64 15 1C F0 11 19 7D 0E,76DA,
,199.9ms,Serial1,0CF00400,Data,8,F0 FF 94 24 1C FF FF FF,6AB2,
,210.5ms,Serial1,0CF00300,Data,8,FF 00 1B FF 05 FF FF FF,7A44,
,211.1ms,Serial1,0CEFFF00,Data,8,64 06 18 7D FF FF FF FF,04A0,
,211.1ms,Serial1,18EFFF00,Data,8,64 10 0C 0C C1 02 0D 7D,7E54,
,212.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,213.8ms,Serial1,,,,64 15 1D F0 0B 19 7D 0E,03ED,
,214.2ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,214.8ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,215.4ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,220.1ms,Serial1,0CF00400,Data,8,F0 FF 94 22 1C FF FF FF,7469,
,229.8ms,Serial1,0CF00300,Data,8,FF 00 1B FF 05 FF FF FF,7A44,
,230.4ms,Serial1,0CEFFF00,Data,8,64 06 19 7D FF FF FF FF,1A8C,
,232.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,233.6ms,Serial1,04EF0006,Data,8,64 15 1E F0 0B 19 7D 0E,2199,
,239.9ms,Serial1,0CF00400,Data,8,F0 FF 95 24 1C FF FF FF,749E,
,251.0ms,Serial1,0CEFFF00,Data,8,FF 00 1A FF 05 FF FF FF 64 06 18 7D FF FF FF FF,04A0,
,251.6ms,Serial1,1CEFFF00,Data,8,FF FF 86 35 FF FF FF FF 64 07 00 00 FF FF FF FF,7B0B,
,252.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,253.6ms,Serial1,04EF0006,Data,8,64 15 1F F0 0B 19 7D 0E,3FB5,
,254.2ms,Serial1,0CFFFE06,Data,8,5C FB 1C FB 1C FF FF FF,7E82,
,254.8ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,255.3ms,Serial1,18FFFB06,Data,8,00 05 83 F8 FF FF FF FF,16C4,
,255.9ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,259.9ms,Serial1,0CF00400,Data,8,F0 FF 94 22 1C FF FF FF,7469,
,270.5ms,Serial1,0CF00300,Data,8,FF 00 1B FF 05 FF FF FF,7A44,
,271.0ms,Serial1,0CEFFF00,Data,8,64 06 19 7D FF FF FF FF,1A8C,
,271.1ms,Serial1,18FEF200,Data,8,19 00 FF FF FF FF FF FF,78C0,
,272.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,273.6ms,Serial1,04EF0006,Data,8,64 15 10 F0 0B 19 7D 0E,5188,
,279.9ms,Serial1,0CF00400,Data,8,F0 FF 95 1C 1C FF FF FF,6EFB,
,289.8ms,Serial1,0CF00300,Data,8,FF 00 1B FF 05 FF FF FF,7A44,
,290.4ms,Serial1,0CEFFF00,Data,8,64 06 1A 7D FF FF FF FF,38F8,
,291.0ms,Serial1,18EF0600,Data,8,64 0E 4B 00 FF FF FF FF,0F2E,
,291.9ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,292.5ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,293.8ms,Serial1,04EF0006,Data,8,64 15 11 F0 04 19 7D 0E,2515,
,299.9ms,Serial1,0CF00400,Data,8,F0 FF 95 22 1C FF FF FF,6A45,
,310.0ms,Serial1,0CF00300,Data,8,FF 00 1A FF 05 FF FF FF,6468,
,310.6ms,Serial1,0CEFFF00,Data,8,64 06 18 7D FF FF FF FF,04A0,
,311.2ms,Serial1,18EFFF00,Data,8,64 10 0C 0C C1 02 0D 7D,7E54,
,311.7ms,Serial1,18FEDF00,Data,8,8B 20 1C FF FF FF FF FF,4129,
,312.4ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,313.6ms,Serial1,04EF0006,Data,8,64 15 12 F0 0B 19 7D 0E,6DD0,
,319.9ms,Serial1,0CF00400,Data,8,F0 FF 94 26 1C FF FF FF,60FB,
,329.8ms,Serial1,0CF00300,Data,8,FF 00 1B FF 05 FF FF FF,7A44,
,330.4ms,Serial1,0CEFFF00,Data,8,64 06 18 7D FF FF FF FF,04A0,
,331.0ms,Serial1,18FEEF00,Data,8,FF FF FF 54 FF FF FF FA,39C9,
,332.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,333.6ms,Serial1,04EF0006,Data,8,64 15 13 F0 0B 19 7D 0E,73FC,
,334.3ms,Serial1,00067F24,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,334.8ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,335.4ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,335.9ms,Serial1,0CFFFE06,Data,8,5C FB 1C FB 1C FF FF FF,7E82,
,339.9ms,Serial1,0CF00400,Data,8,F0 FF 94 1C 1C FF FF FF,70D7,
,349.9ms,Serial1,0CF00300,Data,8,FF 00 1B FF 05 FF FF FF,7A44,
,350.5ms,Serial1,0CEFFF00,Data,8,64 06 1A 7D FF FF FF FF,38F8,
,352.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,353.6ms,Serial1,04EF0006,Data,8,64 15 14 F0 04 19 7D 0E,4389,
,359.9ms,Serial1,0CF00400,Data,8,F0 FF 95 1E 1C FF FF FF,64B2,
,369.9ms,Serial1,0CF00300,Data,8,FF 00 1B FF 05 FF FF FF,7A44,
,370.4ms,Serial1,0CEFFF00,Data,8,64 06 1A 7D FF FF FF FF,38F8,
,371.0ms,Serial1,18FEF200,Data,8,19 00 FF FF FF FF FF FF,78C0,
,372.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,374.2ms,Serial1,04EF0006,Data,8,64 15 15 F0 04 19 7D 0E,5DA5,
,374.2ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,374.8ms,Serial1,18FFFB06,Data,8,00 05 82 F8 FF FF FF FF,08E8,
,375.4ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,379.9ms,Serial1,0CF00400,Data,8,F0 FF 95 22 1C FF FF FF,6A45,
,?,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,574.8ms,Serial1,18FFFB06,Data,8,00 1B FF FF FF FF FF FF,6E40,
,575.5ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,579.9ms,Serial1,0CF00400,Data,8,F0 FF 95 28 1C FF FF FF,4928,
,590.4ms,Serial1,0CF00300,Data,8,FF 00 1A FF 05 FF FF FF,6468,
,591.0ms,Serial1,0CEFFF00,Data,8,64 06 18 7D FF FF FF FF,04A0,
,591.0ms,Serial1,18EF0600,Data,8,64 0E 69 00 FF FF FF FF,250B,
,591.9ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,592.5ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,593.8ms,Serial1,04EF0006,Data,8,64 15 10 F0 11 19 7D 0E,3A93,
,599.9ms,Serial1,0CF00400,Data,8,F0 FF 94 24 1C FF FF FF,6AB2,
,610.6ms,Serial1,0CF00300,Data,8,FF 00 1B FF 05 FF FF FF,7A44,
,611.1ms,Serial1,0CEFFF00,Data,8,64 06 18 7D FF FF FF FF,04A0,
,611.7ms,Serial1,18EFFF00,Data,8,64 10 0C 0C C1 02 0E 7D,77A7,
,611.7ms,Serial1,18FEF700,Data,8,FF FF FF FF FF FF 1A 01,0711,
,612.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,613.6ms,Serial1,04EF0006,Data,8,64 15 11 F0 0B 19 7D 0E,4FA4,
,614.2ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,614.8ms,Serial1,18FE6847,Data,8,46 FF FF FF FF FF FF FF,1818,
,615.9ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,616.5ms,Serial1,18FFFF06,Data,8,73 FF FF FF FF FF FF FF,05EE,
,616.5ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,620.2ms,Serial1,0CF00400,Data,8,F0 FF 94 22 1C FF FF FF,7469,
,629.9ms,Serial1,0CF00300,Data,8,FF 00 1A FF 05 FF FF FF,6468,
,630.4ms,Serial1,0CEFFF00,Data,8,64 06 19 7D FF FF FF FF,1A8C,
,632.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,633.8ms,Serial1,,,,64 15 12 F0 0B 19 7D 0E,6DD0,
,639.9ms,Serial1,0CF00400,Data,8,F0 FF 95 26 1C FF FF FF,7ED7,
,650.4ms,Serial1,0CF00300,Data,8,FF 00 1A FF 05 FF FF FF,6468,
,650.5ms,Serial1,0CEFFF00,Data,8,64 06 18 7D FF FF FF FF,04A0,
,652.4ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,653.6ms,Serial1,04EF0006,Data,8,64 15 13 F0 0B 19 7D 0E,73FC,
,654.2ms,Serial1,0CFFFF47,Data,8,5E FF FF FF FF FF FF FF,679D,
,654.8ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,655.3ms,Serial1,0CFFFE06,Data,8,5C FB 1C FB 1C FF FF FF,7E82,
,655.9ms,Serial1,18FEFC47,Data,8,FF FF FF FF FF FF FF FF,5238,
,656.5ms,Serial1,18EF0047,Data,8,F2 20 61 0F FF FF FF FF,180E,
,657.7ms,Serial1,18F00647,Data,8,FF CF FF FF FF FF FF FF,7671,
,657.8ms,Serial1,000E7EEF,Data,8,FC FF FF FF FF FF FF FF,5009,
,658.3ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
