Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,?,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-90.37ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-90.34ms,Serial1,04EF0006,Data,8,64 15 14 F0 00 00 10 0E,6B22,
,-89.79ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-88.64ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-88.61ms,Serial1,18FEEE00,Data,8,41 3D FF FF FF FF FF FF,6E5F,
,-80.03ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-72.77ms,Serial1,,,,,,Form
,-70.37ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-70.21ms,Serial1,,,,64 15 15 F0 00 00 10 0E,750E,
,-68.64ms,Serial1,0CF00300,Data,8,64 06 00 7D FF FF FF FF FF 00 00 FF 00 FF FF FF,6023,
,-68.61ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,-68.03ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,-67.46ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,-59.46ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-59.42ms,Serial1,18FEDF00,Data,8,7D 20 1C FF FF FF FF FF,5A62,
,-50.37ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 16 F0 00 00 10 0E,577A,
,-49.79ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-48.64ms,Serial1,18FEF200,Data,8,FF 00 00 FF 00 FF FF FF 00 00 FF FF FF FF FF FF,428A,
,-40.03ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-30.37ms,Serial1,04EF0006,Data,8,01 01 FF FF FF FF FF F5 64 15 17 F0 00 00 10 0E,4956,
,-29.79ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-28.06ms,Serial1,18EF0600,Data,8,FF 00 00 FF 00 FF FF FF 64 0E 29 00 FF FF FF FF,09F1,
,-28.03ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,-27.46ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
