Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-100.0ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-90.46ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-89.89ms,Serial1,04EF0006,Data,8,64 15 1D F0 00 00 10 0E,41F7,
,-89.31ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-89.28ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-88.70ms,Serial1,18EF0600,Data,8,64 0E D5 00 FF FF FF FF,4F39,
,-87.87ms,Serial1,18FEF28E,Data,1,FE,,Form
,-87.01ms,Serial1,18FEF500,Data,8,C8 FF FF FF FF 3A FF FF,5354,
,-86.85ms,Serial1,000C7803,Data,8,FF CF FF FF FF FF FF FF,7671,
,-86.40ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-80.03ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-71.49ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-70.30ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-69.15ms,Serial1,0CEFFF00,Data,8,64 15 1E F0 00 00 10 0E 64 06 00 7D FF FF FF FF,59AB,
,-68.58ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-68.54ms,Serial1,18EFFF00,Data,8,64 10 0B 0B 20 03 00 7D,7656,
,-60.03ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-51.04ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,-49.89ms,Serial1,04EF0006,Data,8,64 15 1F F0 00 00 10 0E,7DAF,
,-49.86ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-49.28ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-48.70ms,Serial1,19FC928E,Data,1,FF,7FFF,C,Fo
,-47.58ms,Serial1,18FE6900,Data,8,DA 24 60 25 FF FF 60 FE,7E92,
,-47.55ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,-46.98ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,-46.37ms,Serial1,0CFFFE06,Data,8,5C 20 1C 20 1C FF FF FF,648A,
,-40.00ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-30.46ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-30.43ms,Serial1,04EF0006,Data,8,64 15 10 F0 00 00 10 0E,1392,
,-29.31ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-29.28ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-19.46ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,-19.42ms,Serial1,18FEDF00,Data,8,7D 20 1C FF FF FF FF FF,5A62,
,-10.46ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,-9.888ms,Serial1,04EF0006,Data,8,64 15 11 F0 00 00 10 0E,0DBE,
,-9.312ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,-9.280ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,-8.448ms,Serial1,18FEF28E,Data,1,FE,,Form
,-8.128ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,-7.552ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-32.00us,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,9.536ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,10.69ms,Serial1,0CF00300,Data,8,64 15 12 F0 00 00 10 0E FF 00 00 FF 00 FF FF FF,6023,
,11.26ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,11.30ms,Serial1,18EF0600,Data,8,64 0E DF 00 FF FF FF FF,4798,
,19.97ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,28.51ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,29.12ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,30.27ms,Serial1,04EF0006,Data,8,64 15 13 F0 00 00 10 0E,31E6,
,30.85ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,30.88ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,32.00ms,Serial1,19FFFC0C,Data,0,,,Form
,32.58ms,Serial1,1CECFF00,Data,8,64 10 0B 0B 20 03 00 7D 20 22 00 05 FF E3 FE 00,69B2,
,40.00ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,48.96ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,50.11ms,Serial1,04EF0006,Data,8,64 15 14 F0 00 00 10 0E,6B22,
,50.69ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,50.72ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,59.97ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,69.54ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,70.11ms,Serial1,04EF0006,Data,8,64 15 15 F0 00 00 10 0E,750E,
,70.69ms,Serial1,0CF00300,Data,8,FF 00 00 FF 00 FF FF FF,6023,
,71.26ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,71.84ms,Serial1,19FC928E,Data,1,FF,7FFF,C,Fo
,71.87ms,Serial1,18FD7C00,Data,8,F8 80 F1 F0 00 DF 03 FC,103F,
,72.45ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,73.02ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,80.00ms,Serial1,0CF00400,Data,8,F0 FF 7D 00 00 FF FF FF,7B84,
,83.30ms,Serial1,1CEBFF00,Data,8,01 20 1C DD 68 42 DC A0,17F7,
,89.54ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,90.69ms,Serial1,0CF00300,Data,8,64 15 16 F0 00 00 10 0E FF 00 00 FF 00 FF FF FF,6023,
,91.26ms,Serial1,0CEFFF00,Data,8,64 06 00 7D FF FF FF FF,59AB,
,91.30ms,Serial1,18FEF200,Data,8,00 00 FF FF FF FF FF FF,428A,
,99.97ms,Serial1,,,,,,
