Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,?,Serial1,,,,FF FF FF FF,38B9,
,-149.0ms,Serial1,0CF00400,Data,8,F0 FF A1 16 1C FF FF FF,4AA9,
,-149.0ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,-139.9ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,-138.8ms,Serial1,0CEFFF00,Data,8,64 06 39 7D FF FF FF FF,0CF1,
,-138.8ms,Serial1,18FEEF00,Data,8,FF FF FF 64 FF FF FF FA,0A88,
,-133.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-132.5ms,Serial1,04EF0006,Data,8,64 15 1A F0 09 19 A9 0E,2882,
,-130.0ms,Serial1,0CF00400,Data,8,F0 FF A1 28 1C FF FF FF,4E17,
,-124.6ms,Serial1,1CFFFF17,Data,8,22 FF FF 3C FF FF FF FF,5690,
,-124.0ms,Serial1,18EA0017,Data,3,E5 FE 00,0E2B,
,-119.5ms,Serial1,0CF00300,Data,8,FF 00 27 FF 07 FF FF FF,7472,
,-119.5ms,Serial1,0CEFFF00,Data,8,64 06 36 7D FF FF FF FF,62CC,
,-113.8ms,Serial1,0006F783,Data,8,01 01 FF FF FF FF FF F5,5242,
,-111.4ms,Serial1,0CFFFE06,Data,8,64 15 1B F0 11 19 A9 0E 5C 53 1D 53 1D FF FF FF,7866,
,-111.3ms,Serial1,000C7F78,Data,8,FF 00 00 FF FF FF FF FF,4559,
,-110.8ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-109.9ms,Serial1,0CF00400,Data,8,F0 FF A0 3C 1C FF FF FF,16E1,
,-104.0ms,Serial1,18FEE500,Data,8,64 04 00 00 FF FF FF FF,4305,
,-104.0ms,Serial1,18FEE500,Data,8,64 04 00 00 FF FF FF FF,4305,
,-99.87ms,Serial1,0CF00300,Data,8,FF 00 26 FF 07 FF FF FF,6A5E,
,-99.30ms,Serial1,0CEFFF00,Data,8,64 06 33 7D FF FF FF FF,0450,
,-98.72ms,Serial1,18FEF200,Data,8,25 00 FF FF FF FF FF FF,5110,
,-93.76ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-92.51ms,Serial1,04EF0006,Data,8,64 15 1C F0 CC 18 A9 0E,5368,
,-89.95ms,Serial1,0CF00400,Data,8,F0 FF 9F 42 1C FF FF FF,0466,
,-78.88ms,Serial1,18EF0600,Data,8,FF 00 25 FF 07 FF FF FF 64 06 32 7D FF FF FF FF 64 0E 39 00 FF FF FF FF,6003,
,-74.18ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-73.50ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-72.29ms,Serial1,04EF0006,Data,8,64 15 1D F0 73 19 A9 0E,0C5A,
,-69.98ms,Serial1,0CF00400,Data,8,F0 FF 9E 4E 1C FF FF FF,27FC,
,-59.42ms,Serial1,0CF00300,Data,8,FF 00 24 FF 07 FF FF FF,5606,
,-58.85ms,Serial1,0CEFFF00,Data,8,64 06 30 7D FF FF FF FF,2624,
,-58.82ms,Serial1,18EFFF00,Data,8,64 10 01 01 F0 02 05 7D,7927,
,-58.24ms,Serial1,18FEF600,Data,8,FF 00 37 FF 00 FF FF FF,0575,
,-53.73ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-52.51ms,Serial1,04EF0006,Data,8,64 15 1E F0 0B 19 A9 0E,6DC2,
,-49.95ms,Serial1,0CF00400,Data,8,F0 FF 9E 5C 1C FF FF FF,7FFD,
,-40.03ms,Serial1,18EFFA00,Data,8,64 01 FF 00 00 FF FF FF,159B,
,-39.46ms,Serial1,0CEFFF00,Data,8,64 06 2E 7D FF FF FF FF,3FC7,
,-38.88ms,Serial1,0CF00300,Data,8,FF 00 24 FF 07 FF FF FF,5606,
,-33.76ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-31.97ms,Serial1,04EF0006,Data,8,64 15 1F F0 C6 18 A9 0E,7EB5,
,-31.39ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,-30.82ms,Serial1,18FFFB06,Data,8,00 05 B5 F8 FF FF FF FF,2DA3,
,-30.78ms,Serial1,0CFFFF47,Data,8,5D FF FF F3 FF FF FF FF,66E2,
