Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,?,Serial1,,Data,8,FF 00 27 FF 07 FF FF FF,7472,
,-149.4ms,Serial1,0CEFFF00,Data,8,64 06 36 7D FF FF FF FF,62CC,
,-148.9ms,Serial1,18FEF200,Data,8,26 00 FF FF FF FF FF FF,6DD9,
,-144.9ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-143.1ms,Serial1,04EF0006,Data,8,64 15 18 F0 0B 19 A9 0E,292A,
,-143.1ms,Serial1,18FEF147,Data,8,FF 00 00 FF FF FF FF FF,4559,
,-142.5ms,Serial1,18F00503,Data,8,7D FF FF FF FF FF FF FF,115D,
,-140.0ms,Serial1,0CF00400,Data,8,F0 FF A0 26 1C FF FF FF,67C4,
,-129.5ms,Serial1,0CF00300,Data,8,FF 00 27 FF 07 FF FF FF,7472,
,-128.9ms,Serial1,0CEFFF00,Data,8,64 06 36 7D FF FF FF FF,62CC,
,-128.9ms,Serial1,18EF0600,Data,8,64 0E 3D 00 FF FF FF FF,18B3,
,-124.9ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-123.5ms,Serial1,,,,64 15 19 F0 0B 19 A9 0E,3706,
,-120.0ms,Serial1,0CF00400,Data,8,F0 FF A0 20 1C FF FF FF,791F,
,-108.8ms,Serial1,18EFFF00,Data,8,FF 00 28 FF 07 FF FF FF 64 06 37 7D FF FF FF FF 64 10 01 01 D4 02 05 7D,0E3A,
,-108.2ms,Serial1,18FEDF00,Data,8,8B 20 1C FF FF FF FF FF,4129,
,-105.3ms,Serial1,0DEF0647,Data,8,01 04 FF FF FF FF FF F1,59F0,
,-104.7ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-103.0ms,Serial1,04EF0006,Data,8,64 15 1A F0 0B 19 A9 0E,1572,
,-103.0ms,Serial1,0CFFFE06,Data,8,5C 53 1D 53 1D FF FF FF,7866,
,-102.4ms,Serial1,18FFFF06,Data,8,73 FF FF FF FF FF FF FF,05EE,
,-100.1ms,Serial1,0CF00400,Data,8,F0 FF A0 1E 1C FF FF FF,7DA1,
,-90.11ms,Serial1,0CF00300,Data,8,FF 00 27 FF 07 FF FF FF,7472,
,-88.96ms,Serial1,0CEFFF00,Data,8,64 06 38 7D FF FF FF FF,12DD,
,-88.93ms,Serial1,18FEEF00,Data,8,FF FF FF FE FF FF FF FA,74BB,
,-84.90ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-83.62ms,Serial1,04EF0006,Data,8,64 15 1B F0 04 19 A9 0E,61EF,
,-80.03ms,Serial1,0CF00400,Data,8,F0 FF A0 20 1C FF FF FF,791F,
,-69.98ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,-69.41ms,Serial1,0CEFFF00,Data,8,64 06 37 7D FF FF FF FF,7CE0,
,-64.90ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-63.14ms,Serial1,04EF0006,Data,8,64 15 1C F0 0B 19 A9 0E,519A,
,-62.56ms,Serial1,0CFE4947,Data,8,FF FF FF FF FF FF FF FF,2E1A,
,-62.40ms,Serial1,000E7EEF,Data,8,FC FF FF FF FF FF FF FF,5009,
,-61.95ms,Serial1,0CFE4347,Data,8,00 00 FF FF 3F FF FF FF,3824,
,-61.38ms,Serial1,0CFE4447,Data,8,00 00 FF FF 3F FF FF FF,1F64,
,-60.00ms,Serial1,0CF00400,Data,8,F0 FF A0 1A 1C FF FF FF,6933,
,-49.47ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
,-48.90ms,Serial1,0CEFFF00,Data,8,64 06 38 7D FF FF FF FF,12DD,
,-48.86ms,Serial1,18FEF200,Data,8,26 00 FF FF FF FF FF FF,6DD9,
,-44.90ms,Serial1,0DEF0603,Data,8,01 01 FF FF FF FF FF F5,5242,
,-43.62ms,Serial1,04EF0006,Data,8,64 15 1D F0 04 19 A9 0E,2507,
,-40.03ms,Serial1,0CF00400,Data,8,F0 FF A0 1A 1C FF FF FF,6933,
,-29.41ms,Serial1,0CF00300,Data,8,FF 00 28 FF 07 FF FF FF,1A4F,
