Marked,Time,Serial Bus,ID,Type,DLC,Data,CRC,Errors
,-149.5ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-148.9ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-148.8ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,6E62,Form
,-147.6ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-147.0ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-146.4ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-146.3ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,6E62,Form
,-145.1ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-144.5ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-143.8ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-143.7ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,6E62,Form
,-142.6ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-142.0ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-141.3ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-141.2ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,6E62,Form
,-140.1ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-139.4ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-138.8ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-138.7ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,6E62,Form
,-137.5ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-136.9ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-136.3ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-136.2ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,6E62,Form
,-135.0ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-134.4ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-133.7ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-133.6ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,6E62,Form
,-132.5ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-131.8ms,Serial1,0CEFFF00,Data,8,64 06 8F 7D FF FF FF FF,,
,-131.2ms,Serial1,0CEFFF00,Data,8,64 06 94 7D FF FF FF FF,,
,-130.6ms,Serial1,0CEFFF00,Data,8,64 06 94 7D FF FF FF FF,,
,-130.0ms,Serial1,0CEFFF00,Data,8,64 06 94 7D FF FF FF FF,,
,-129.9ms,Serial1,0CEFFF00,Data,8,64 06 94 7D FF FF FF FF,111D,Form
,-128.7ms,Serial1,0CEFFF00,Data,8,64 06 94 7D FF FF FF FF,,
,-128.1ms,Serial1,0CEFFF00,Data,8,64 06 94 7D FF FF FF FF,,
,-127.5ms,Serial1,0CEFFF00,Data,8,64 06 94 7D FF FF FF FF,,
